Cluster,Year,Month,Dasarian,Rainfall,SPI - 3 months,Temperature,Water Satisfaction Index (WSI),Solar Radiation,Soil Moisture (gapfilled historical time series),FPAR,FPAR - zscore,Data_Type
0,2026,1,1,1.083658596745622,0.6955530216647662,-1.0181441161223432,0.15088529638183207,-0.6500937744506905,0.467741935483871,-0.15087684533835347,-0.3663442940038685,Actual
0,2026,1,2,0.017981049762436807,0.6723679209426073,-1.14014169690686,0.14861859550081266,0.1826864740393385,0.14784946236559135,-0.13570461375871093,-0.3133462282398452,Actual
0,2026,1,3,-0.05908308356192713,0.6055998986443684,-1.1279592189390006,0.113613035668463,0.8998572768267934,0.10483870967741932,0.007926285544436537,-0.12637008381689233,Actual
0,2026,2,1,0.21260841075624057,0.699860636006588,-1.1661482633488853,0.10142417244033891,-0.03159279384081404,0.3306451612903223,-0.006819908187192626,-0.30593165699548674,Actual
0,2026,2,2,0.6267480884078662,0.7810718358038767,-1.1764299291515454,0.1050380634676248,-0.4743464537514514,0.31989247311827923,-0.014118696126028224,-0.4622823984526112,Actual
0,2026,2,3,0.10750510131625172,0.664259470416825,-1.0577155693796436,0.11590112052005819,-1.078775278086931,0.15322580645161274,-0.000990785693054862,-0.5799484203739523,Actual
0,2026,3,1,0.1947394778345006,0.546686937792981,-1.0618627959218936,0.12573774698486004,0.19888135266062287,0.1962365591397848,0.04466792166187744,-0.5957446808510639,Actual
0,2026,3,2,0.33573761669494506,0.4877739769415938,-1.1327976499049592,0.129223334188692,-0.13099824665146526,0.2607526881720428,0.17847352950890014,-0.43165699548678277,Actual
0,2026,3,3,0.15037858119875325,0.2677055618902825,-0.9822878866424741,0.12522453169104458,0.8510291669571711,0.400537634408602,0.33216090359655176,-0.18697614442295296,Actual
0,2026,4,1,0.41950690746307373,0.2762913405895233,-1.058976650238037,0.12692677974700928,-0.4787389636039734,0.2888345718383789,0.44063451886177063,-0.11395423859357834,Forecast
0,2026,4,2,0.4686751067638397,0.31992074847221375,-1.047586441040039,0.11625025421380997,-0.5196079611778259,0.284900039434433,0.5502645969390869,-0.07171325385570526,Forecast
0,2026,4,3,0.3018944561481476,0.341427206993103,-0.9952247738838196,0.12134281545877457,-0.45300158858299255,0.27561089396476746,0.6152563095092773,-0.06586341559886932,Forecast
0,2026,5,1,0.4450666904449463,0.32798659801483154,-0.9388375282287598,0.12451832741498947,-0.3960697054862976,0.27663254737854004,0.701167643070221,-0.12256546318531036,Forecast
0,2026,5,2,0.2268080860376358,0.3931942582130432,-0.9210649728775024,0.12433474510908127,-0.4825093448162079,0.25660446286201477,0.7242959141731262,-0.20719072222709656,Forecast
0,2026,5,3,0.12431305646896362,0.3504011034965515,-0.9464633464813232,0.11914084106683731,-0.18419215083122253,0.24914945662021637,0.7604106068611145,-0.22174225747585297,Forecast
0,2026,6,1,0.14875873923301697,0.4840143322944641,-1.0243393182754517,0.1134156733751297,-0.5603367686271667,0.2188752144575119,0.7813794016838074,-0.18891535699367523,Forecast
0,2026,6,2,0.2010914385318756,0.5269476771354675,-1.0657634735107422,0.1088368147611618,-0.6070182919502258,0.19705405831336975,0.7840234637260437,-0.11522737890481949,Forecast
0,2026,6,3,-0.025273775681853294,0.5084370970726013,-1.0735379457473755,0.09828902781009674,-0.5472365021705627,0.14701607823371887,0.770500898361206,-0.08315467834472656,Forecast
0,2026,7,1,-0.12298302352428436,0.45959413051605225,-1.0963736772537231,0.08379024267196655,-0.49401259422302246,0.09153831005096436,0.7585597038269043,-0.08924000710248947,Forecast
0,2026,7,2,-0.22701811790466309,0.3674774467945099,-1.1206551790237427,0.07036277651786804,-0.1633390337228775,0.05251287668943405,0.7221074104309082,-0.1565590798854828,Forecast
0,2026,7,3,-0.171628937125206,0.3617192208766937,-1.143914818763733,0.03758130595088005,0.020440813153982162,0.0485343337059021,0.6827261447906494,-0.2047450691461563,Forecast
0,2026,8,1,-0.12936151027679443,0.37753787636756897,-1.2045540809631348,0.012289454229176044,-0.10838722437620163,0.026094062253832817,0.6325930953025818,-0.22286418080329895,Forecast
0,2026,8,2,-0.060710493475198746,0.3467460870742798,-1.225215196609497,-0.016693735495209694,0.049787260591983795,0.0018815710209310055,0.5576947927474976,-0.19293470680713654,Forecast
0,2026,8,3,0.16971564292907715,0.3509676456451416,-1.2174574136734009,-0.03234902024269104,-0.056741971522569656,-0.00910200271755457,0.501369833946228,-0.11331191658973694,Forecast
0,2026,9,1,0.2750348448753357,0.3977818191051483,-1.208465576171875,-0.028147980570793152,-0.08898500353097916,-0.035503216087818146,0.40708237886428833,-0.06704767048358917,Forecast
0,2026,9,2,0.3890500068664551,0.4088694453239441,-1.1880662441253662,-0.025366147980093956,-0.04172467812895775,-0.03360588848590851,0.3113866150379181,-0.025357229635119438,Forecast
0,2026,9,3,0.4786396622657776,0.45520949363708496,-1.1876622438430786,-0.023159639909863472,-0.045466892421245575,-0.024195807054638863,0.20111343264579773,-0.013439817354083061,Forecast
0,2026,10,1,0.48316898941993713,0.43533632159233093,-1.1759719848632812,-0.020083405077457428,-0.08337675780057907,-0.007411222904920578,0.11416414380073547,-0.011988031677901745,Forecast
0,2026,10,2,0.48598819971084595,0.41407135128974915,-1.1832895278930664,-0.011681216768920422,-0.034242428839206696,0.039924900978803635,0.026051577180624008,0.00813202653080225,Forecast
0,2026,10,3,0.5395078659057617,0.3913719356060028,-1.2099497318267822,-0.0003992077545262873,-0.17546311020851135,0.05507877096533775,-0.0871950164437294,0.02478119730949402,Forecast
0,2026,11,1,0.5302073955535889,0.39260658621788025,-1.223996639251709,0.020848894491791725,-0.4275985360145569,0.12790219485759735,-0.16094590723514557,0.025234311819076538,Forecast
0,2026,11,2,0.4902665317058563,0.38345688581466675,-1.244787573814392,0.03987158089876175,-0.7506695985794067,0.17326931655406952,-0.228537455201149,-0.004643005318939686,Forecast
0,2026,11,3,0.4190709888935089,0.40132927894592285,-1.2084581851959229,0.07198376953601837,-0.7377188801765442,0.21289822459220886,-0.25235530734062195,-0.052020519971847534,Forecast
0,2026,12,1,0.3814096450805664,0.40124839544296265,-1.1585570573806763,0.09193434566259384,-0.6551320552825928,0.23736371099948883,-0.29049980640411377,-0.1460193246603012,Forecast
0,2026,12,2,0.3799190819263458,0.39364874362945557,-1.1304421424865723,0.10524297505617142,-0.5982879400253296,0.2851004898548126,-0.2931557893753052,-0.21928459405899048,Forecast
0,2026,12,3,0.3750353455543518,0.4035307765007019,-1.125255823135376,0.11943807452917099,-0.6440404057502747,0.291925847530365,-0.28401443362236023,-0.25441572070121765,Forecast
1,2026,1,1,1.0428722341398273,0.7589002913974406,0.06259720062208303,0.15253186211615766,-0.771510937555142,0.682795698924731,-1.2909772449552492,-0.8094777562862671,Actual
1,2026,1,2,0.4710576604454278,0.6436716077537058,0.14761534473820545,0.14938841844153603,-0.16726146670144063,0.5658602150537634,-1.2181132137785262,-0.9308510638297872,Actual
1,2026,1,3,0.5138277436859534,0.3975674648422653,0.184767582512527,0.1047921478060048,0.5490713875167103,0.4637096774193548,-0.887496284553651,-0.521760154738878,Actual
1,2026,2,1,0.79149880284129,0.3525909033320664,0.040046656298599326,0.08114147634932868,-0.16433383676471444,0.6827956989247309,-0.8662604445325143,-0.7944874274661508,Actual
1,2026,2,2,0.8733166902112033,0.3057139237298872,0.11724555037152141,0.0853861945085961,-0.3510716638175828,0.6491935483870965,-0.8523068793553289,-1.0224049000644746,Actual
1,2026,2,3,0.2629725413399706,0.352274166983403,0.14333851736651013,0.09526558891454945,-1.532639840197388,0.668010752688172,-0.7759833548003566,-1.0930045132172792,Actual
1,2026,3,1,0.4507283857417277,0.3126821234004814,0.20308449974079734,0.0965058592079374,0.11023256560854668,0.5376344086021504,-0.6740645331748077,-1.0286911669890393,Actual
1,2026,3,2,0.26323913027229445,0.27480045610034204,0.250432002764817,0.08337610127448435,0.4619261404081861,0.6263440860215052,-0.46263912282439984,-0.7021276595744682,Actual
1,2026,3,3,0.6691718551849056,0.2311541872545293,0.27203214100570156,0.06602300915233936,0.7402505439942444,0.6129032258064516,-0.24859638693483946,-0.29980657640232106,Actual
1,2026,4,1,0.2237999736699003,0.1607623965612059,0.32929472002477134,0.061915312810497905,-0.15351420684492392,0.49469342415081613,-0.16455214588774703,-0.18809987566268693,Forecast
1,2026,4,2,0.1518369476549173,0.08795765807535023,0.3908231598483913,0.03765175391422989,-0.1288321728684722,0.4569327818553497,-0.05547492174093823,-0.06953126973102572,Forecast
1,2026,4,3,0.2187127302178068,-0.01772960301213355,0.44418857397192285,-8.432015863268504e-05,-0.20263437666978973,0.4150329022753743,0.004581687496473207,-0.037074840437503434,Forecast
1,2026,5,1,0.3007093533323492,-0.010934944666044763,0.45623010641377204,-0.030152600594012393,-0.2561713008060869,0.33533623643068583,0.06993526142944508,-0.02637469938291374,Forecast
1,2026,5,2,0.25984938392973556,-0.08221059670176274,0.48038184002887724,-0.034791517158147496,-0.04782656473635204,0.27558818123120815,0.10470884484961922,-0.02730616268416254,Forecast
1,2026,5,3,0.21677010649307135,-0.09360244198571298,0.4092828142817458,-0.05886378731832644,0.018114153568977068,0.24246972477356837,0.13862990914618376,-0.030705282356805724,Forecast
1,2026,6,1,0.22357734041211857,-0.1055189867031147,0.3943711782328028,-0.07731232164185119,-0.32789810779020945,0.18025189113600631,0.19832332008993023,-0.021632397598711793,Forecast
1,2026,6,2,0.18002444499062856,-0.1448050529584542,0.3660737834570507,-0.10209283297707267,-0.4135826245409844,0.11327709873759645,0.2441255893325555,-0.01714660840426768,Forecast
1,2026,6,3,-0.03729153928576169,-0.17718108103159771,0.3670476793243871,-0.11421753672587405,-0.3808203450522724,0.0365103154191423,0.2782307011904327,-0.011568203191676063,Forecast
1,2026,7,1,-0.21889943607914158,-0.20084087418892255,0.32368656406855323,-0.19430698826832984,-0.3564350107043224,-0.0806763185272625,0.29229285341109085,0.10285055041438854,Forecast
1,2026,7,2,-0.31488487116971026,-0.16616131751939783,0.28542898274945405,-0.3672963249849481,-0.2032961108456195,-0.2137891401302622,0.2631346536412749,0.17121385432910438,Forecast
1,2026,7,3,-0.44075710663449885,-0.1885960252357866,0.25120774674014956,-0.7059863095330223,0.37086533931764837,-0.3563189011473995,0.18828482245140693,0.26273082531473246,Forecast
1,2026,8,1,-0.4974874465986403,-0.19247233079441403,0.30573044922622045,-1.036007408139228,0.20070550122594463,-0.48716221568653734,0.018828463579981126,0.3224358788336999,Forecast
1,2026,8,2,-0.5387747210295855,-0.17145627994068657,0.3001048805696545,-1.545928471057323,0.451496828825396,-0.6031184808131925,-0.12210154564337322,0.3694604825237947,Forecast
1,2026,8,3,-0.6030696582768929,-0.18942846703740004,0.36728110869249775,-1.9283809226227457,0.7351188827296813,-0.7364847124425409,-0.29492025137286565,0.39896341787378337,Forecast
1,2026,9,1,-0.6008895910155325,-0.22066356746385624,0.41349628077411604,-2.260265595201704,0.6557476387730287,-0.8311521877860781,-0.4544509993991405,0.4243349988677183,Forecast
1,2026,9,2,-0.5808282187607429,-0.2767905234910172,0.47376865318741007,-2.4782114367228174,0.7755491535856616,-0.9149524005115821,-0.6204566588943402,0.43558847070063655,Forecast
1,2026,9,3,-0.5953247442086489,-0.31930822932664177,0.52135090614647,-2.5254902618170196,0.7409953915739126,-0.9093129938496721,-0.7242034262520033,0.4179547070031605,Forecast
1,2026,10,1,-0.5822764433714077,-0.3211334159363427,0.5991425680992122,-2.504245220899193,0.7268140920585261,-0.8264616730214093,-0.7793790448817762,0.38890677392316697,Forecast
1,2026,10,2,-0.35877357387623715,-0.3101354927045162,0.5997934497504904,-2.457332693794011,0.7458510664427943,-0.7166941850413118,-0.885450110787857,0.3802350327831835,Forecast
1,2026,10,3,-0.23518627630499037,-0.2860365855599302,0.6067121399425361,-2.4092081799735854,0.6794348991306797,-0.5719798485723105,-0.9334787752959899,0.37662834305029874,Forecast
1,2026,11,1,0.0763427158722469,-0.24558914602983292,0.5761268765130942,-2.262459701492057,0.3262886987389446,-0.374876374538168,-0.9634130540936809,0.37489695999425854,Forecast
1,2026,11,2,0.40404184331301696,-0.23881259826267773,0.46771759878327995,-1.697379304775452,0.14101571399702018,-0.1334420842080536,-1.0023651565281178,0.3837345235370456,Forecast
1,2026,11,3,0.5836582373562171,-0.15701702521455885,0.34751457264576935,-1.3148845527665856,-0.32139911152921613,0.15084896576159837,-1.0132085933208836,0.3716794880454123,Forecast
1,2026,12,1,0.6289020835184873,-0.1046289517702669,0.3857169735541558,-0.6936159850921941,-0.33971705473433905,0.3070726763888744,-1.0100192523538791,0.355853279592891,Forecast
1,2026,12,2,0.7513069882341893,-0.025048654206684916,0.3863514881410204,-0.2594430387395551,-0.4336548300303796,0.41748019247284934,-0.9927796414219419,0.2276637312170821,Forecast
1,2026,12,3,0.7730056113423953,0.06758362938232294,0.3608403674998301,-0.04473034416539392,-0.5170034576401485,0.4597758101736778,-0.9789194656526979,0.06943667059937705,Forecast
2,2026,1,1,0.9011712472624807,0.9389585708855949,0.05567651632970396,0.1535283551449831,-0.40172689982673093,-0.44516129032258067,-0.4309521450510255,-0.39961315280464216,Actual
2,2026,1,2,0.37656060413536735,0.8212340048143925,0.029203386901675312,0.15405012402702983,-0.5236797864392221,-0.45430107526881724,-0.5323326397833483,-0.6470019342359768,Actual
2,2026,1,3,0.5224320883381046,0.5948308627898137,0.11059270779332864,0.09233598494568496,0.5984824809322279,-0.47043010752688175,-0.22537071898015146,-0.3636363636363637,Actual
2,2026,2,1,0.7098889544980032,0.47763841378436583,-0.014688094003802369,0.008959883671199967,0.09878960204927505,-0.30645161290322576,-0.2086099276726446,-0.7914248871695678,Actual
2,2026,2,2,0.825217319809551,0.4602812618776131,0.025574563677206234,0.04520571379693788,-0.2672336483249365,-0.32526881720430123,-0.14425839690874875,-1.0203094777562862,Actual
2,2026,2,3,0.5592612247643678,0.5674648422652984,-0.12182477967859073,0.07007527157642664,-1.9609592299124545,-0.20430107526881727,-0.09838501932032119,-1.2656350741457123,Actual
2,2026,3,1,0.3380870873788826,0.5070315469403268,0.07957490927941836,0.08741767171328389,-0.005663301778223838,-0.5860215053763441,-0.02982264936094341,-1.3165699548678271,Actual
2,2026,3,2,0.13025734552167967,0.4320283795768402,-0.012009676861932439,0.08596356171413899,0.4633729084841593,-0.31182795698924726,0.11544304633574397,-1.16247582205029,Actual
2,2026,3,3,0.01806576026429681,0.31660965412390724,0.1515465698980464,0.04924728423573654,1.1590843703223612,-0.424731182795699,0.26880015852571065,-0.882333978078659,Actual
2,2026,4,1,0.1558101922273636,0.26331090927124023,0.129296213388443,0.0044991327449679375,-0.05234270170331001,-0.6640232801437378,0.35996705293655396,-0.7889894843101501,Forecast
2,2026,4,2,0.1409083604812622,0.24844153225421906,0.09756780415773392,0.012487467378377914,-0.28363898396492004,-0.6872583627700806,0.41825661063194275,-0.6130989193916321,Forecast
2,2026,4,3,0.07814522832632065,0.26809224486351013,0.08901900798082352,0.00026373722357675433,-0.27673885226249695,-0.7105476260185242,0.4848422408103943,-0.44919663667678833,Forecast
2,2026,5,1,-0.16872385144233704,0.2700001299381256,0.06384574621915817,-0.017115389928221703,0.0630115419626236,-0.752074122428894,0.5207552909851074,-0.28136569261550903,Forecast
2,2026,5,2,-0.1196872666478157,0.256581574678421,0.04710830748081207,-0.11584986746311188,-0.0873301699757576,-0.830010712146759,0.5399684906005859,-0.15537384152412415,Forecast
2,2026,5,3,-0.18476933240890503,0.26454806327819824,0.013034804724156857,-0.20705702900886536,0.0740632712841034,-0.9474291801452637,0.54775071144104,-0.0683324933052063,Forecast
2,2026,6,1,-0.29805052280426025,0.2697771191596985,0.011179134249687195,-0.3346267640590668,-0.06165692210197449,-1.005074143409729,0.5399146676063538,0.03949997201561928,Forecast
2,2026,6,2,-0.33217164874076843,0.2627013623714447,-0.001981200883165002,-0.5529260039329529,-0.15925133228302002,-1.037240743637085,0.5337238311767578,0.07483740150928497,Forecast
2,2026,6,3,-0.3705311417579651,0.26073962450027466,-0.058781400322914124,-0.7648699283599854,-0.24504141509532928,-1.1164071559906006,0.5071431398391724,0.14895781874656677,Forecast
2,2026,7,1,-0.4365520477294922,0.26532405614852905,-0.11855742335319519,-0.9945662617683411,-0.3194105625152588,-1.2337051630020142,0.45304691791534424,0.18295693397521973,Forecast
2,2026,7,2,-0.47507500648498535,0.26289185881614685,-0.16690361499786377,-1.2796589136123657,-0.28498199582099915,-1.2956877946853638,0.40728485584259033,0.17812129855155945,Forecast
2,2026,7,3,-0.5706620216369629,0.26199018955230713,-0.17424601316452026,-1.629081130027771,0.0016827702056616545,-1.401770830154419,0.3122203052043915,0.14265120029449463,Forecast
2,2026,8,1,-0.6191094517707825,0.2641228437423706,-0.17345623672008514,-1.868360161781311,-0.11934487521648407,-1.4935859441757202,0.19576355814933777,0.11441320180892944,Forecast
2,2026,8,2,-0.634611189365387,0.2524082064628601,-0.17345623672008514,-2.1499085426330566,0.2803836762905121,-1.6025506258010864,0.0741613507270813,0.11894036084413528,Forecast
2,2026,8,3,-0.6424777507781982,0.2524082064628601,-0.16106843948364258,-2.4719414710998535,0.43495044112205505,-1.678597331047058,-0.07801234722137451,0.1167367473244667,Forecast
2,2026,9,1,-0.6376212239265442,0.2524082064628601,-0.13413332402706146,-2.5733578205108643,0.6084097623825073,-1.7280341386795044,-0.20689618587493896,0.11853384226560593,Forecast
2,2026,9,2,-0.6361840963363647,0.2615657448768616,-0.08011367172002792,-2.5881259441375732,0.7360243797302246,-1.8125183582305908,-0.2981562614440918,0.11853384226560593,Forecast
2,2026,9,3,-0.6310809850692749,0.2646268308162689,-0.01941460743546486,-2.6203453540802,0.8681201934814453,-1.8145896196365356,-0.3158635199069977,0.11853384226560593,Forecast
2,2026,10,1,-0.5324564576148987,0.2660326361656189,0.03342902660369873,-2.6078121662139893,0.8633627891540527,-1.8090165853500366,-0.20716412365436554,0.11853384226560593,Forecast
2,2026,10,2,-0.3640764057636261,0.24939413368701935,0.1364288032054901,-2.358370780944824,0.835048496723175,-1.8147165775299072,-0.07134833931922913,0.11853384226560593,Forecast
2,2026,10,3,-0.18710969388484955,0.25102150440216064,0.20516203343868256,-2.0236494541168213,0.8629124760627747,-1.7965699434280396,-0.02440609596669674,0.1267997771501541,Forecast
2,2026,11,1,-0.006987469270825386,0.2845081686973572,0.25546926259994507,-2.0375583171844482,0.6072275042533875,-1.7687915563583374,-0.0991806909441948,0.13693702220916748,Forecast
2,2026,11,2,0.08269380778074265,0.29743045568466187,0.28389474749565125,-2.05168080329895,0.4611063301563263,-1.621169090270996,-0.21515005826950073,0.13944169878959656,Forecast
2,2026,11,3,0.18215997517108917,0.3296261727809906,0.2821628451347351,-1.9797170162200928,0.4542196989059448,-1.4228215217590332,-0.4625304639339447,0.13944169878959656,Forecast
2,2026,12,1,0.32146358489990234,0.3580111563205719,0.27429431676864624,-1.7588177919387817,0.21006223559379578,-1.2128876447677612,-0.5483125448226929,0.1352136731147766,Forecast
2,2026,12,2,0.3912138044834137,0.4188108444213867,0.1857515424489975,-1.17789888381958,-0.22700782120227814,-1.026137113571167,-0.5670724511146545,0.1374172866344452,Forecast
2,2026,12,3,0.42510539293289185,0.4874468147754669,0.1347942054271698,-0.6855437755584717,-0.3432907164096832,-0.8299536108970642,-0.5483050346374512,0.13489463925361633,Forecast
